Section,Subsection,Topic (Bangla),Topic (English),Path,Content type,Priority,Notes
Phase 3: Launching & Growing,Local Market Playbooks,"ফেসবুক পেজ, শপ ও ইনবক্স অপারেশনস সেটআপ","Facebook page, shop and inbox ops setup",/customers/facebook-page-setup,Playbook,High,Social commerce operating guide.
Phase 3: Launching & Growing,Local Market Playbooks,WhatsApp ক্যাটালগ ও ব্রডকাস্ট কাজের ধাপ,WhatsApp catalog and broadcast workflow,/customers/whatsapp-catalog,Playbook,High,Sales ops content.
Phase 3: Launching & Growing,Local Market Playbooks,TikTok ও YouTube Shorts দিয়ে চাহিদা তৈরি,Creating demand with TikTok and YouTube Shorts,/customers/tiktok-shorts,Playbook,Medium,DataReportal source lead for platform usage.
Phase 3: Launching & Growing,Local Market Playbooks,"কমিউনিটি সিডিং: পাবলিক গ্রুপ, ক্যাম্পাস ও নিশ কমিউনিটি","Community seeding in public groups, campuses and niches",/customers/community-seeding,Playbook,Medium,Founder-led distribution.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশের জন্য রেফারেল প্রোগ্রাম,Referral programs for Bangladesh,/customers/referral-programs,Guide / Template,Medium,Trust-driven acquisition.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলায় কাস্টমার সাপোর্ট স্ক্রিপ্ট,Bangla customer support scripts,/customers/support-scripts,Script,High,Trust and retention.
Phase 3: Launching & Growing,Local Market Playbooks,"মিডিয়া পিচ: Future Startup, দ্য ডেইলি স্টার, টিবিএস ও প্রথম আলো","Media pitch guide: Future Startup, The Daily Star, TBS and Prothom Alo",/customers/media-pitch,Template,Medium,Startup PR.
Phase 3: Launching & Growing,Sales & Distribution,ডিলার ও ডিস্ট্রিবিউটর মডেল,Dealer and distributor model,/growth/dealer-distributor-model,Guide,High,Physical products and regional sales.
Phase 3: Launching & Growing,Sales & Distribution,রিটেইল শেলফে পণ্য বসাবেন কীভাবে,How to get retail shelf placement,/growth/retail-shelf-placement,Guide,Medium,For consumer products.
Phase 3: Launching & Growing,Sales & Distribution,কর্পোরেট পাইলট থেকে পেইড কনট্রাক্ট,From corporate pilot to paid contract,/b2b/pilot-to-contract,Playbook,High,B2B Bangladesh reality.
Phase 3: Launching & Growing,Sales & Distribution,NGO ও উন্নয়ন খাতের পার্টনারশিপ,NGO and development-sector partnerships,/b2b/ngo-partnerships,Guide,Medium,Relevant for impact startups.
Phase 3: Launching & Growing,Sales & Distribution,"পারচেজ অর্ডার, ইনভয়েস ও টাকা তোলার কাজের ধাপ","Purchase order, invoice and collection workflow",/b2b/invoice-collection,Guide / Template,High,SME and B2B sales ops.
Phase 3: Launching & Growing,Logistics & Commerce,"রিটার্ন, রিফান্ড ও এক্সচেঞ্জ নীতির টেমপ্লেট","Return, refund and exchange policy template",/customers/return-policy-template,Template,High,E-commerce trust topic.
Phase 3: Launching & Growing,Logistics & Commerce,কুরিয়ার SLA তুলনা স্কোরকার্ড,Courier SLA comparison scorecard,/operations/courier-sla-scorecard,Scorecard,High,"Pathao, Steadfast, REDX, Paperfly etc."
Phase 3: Launching & Growing,Logistics & Commerce,ঢাকার বাইরে ডেলিভারি জোন পরিকল্পনা,Delivery zone plan outside Dhaka,/growth/delivery-zone-plan,Template,High,Operational planning.
Phase 3: Launching & Growing,Logistics & Commerce,ফেরত আসা ও ব্যর্থ ডেলিভারি কমানোর উপায়,Reducing return-to-origin and failed delivery,/operations/reducing-rto,Guide,High,COD-heavy market issue.
Phase 3: Launching & Growing,Logistics & Commerce,COD জালিয়াতি ও ভুয়া অর্ডার সামলানোর প্লেবুক,COD fraud and fake-order response playbook,/operations/cod-fraud-playbook,Playbook,High,Commerce risk.
Phase 3: Launching & Growing,Metrics & Operations,ক্যাশফ্লো বনাম মুনাফা: ফাউন্ডারদের জন্য সহজ ব্যাখ্যা,Cashflow vs profit in plain language for founders,/metrics/cashflow-vs-profit,Guide,High,Bookkeeping education.
Phase 3: Launching & Growing,Metrics & Operations,"নিচ থেকে গড়া আর্থিক পূর্বাভাস: রেভিনিউ, খরচ ও ক্যাশ রানওয়ে","Bottom-up financial projections: revenue, cost and cash runway",/metrics/financial-projections,Guide / Calculator,High,"Monthly revenue drivers, COGS, payroll, cash runway, base/downside/upside cases, actual-vs-plan review. AI may help with formulas and scenarios, never with business assumptions or authoritative-sounding forecasts. Keep valuation itself on /funding/valuation. Source lead: Accelerating Bangladesh, Financial Projection and Startup Valuation Using AI."
Phase 3: Launching & Growing,Metrics & Operations,ওয়ার্কিং ক্যাপিটাল সাইকেল ক্যালকুলেটর,Working capital cycle calculator,/tools/working-capital-calculator,Calculator,High,Inventory and B2B payment cycles.
Phase 3: Launching & Growing,Metrics & Operations,ইনভেন্টরি টার্নওভার ক্যালকুলেটর,Inventory turnover calculator,/tools/inventory-turnover-calculator,Calculator,Medium,Commerce/physical product metrics.
Phase 3: Launching & Growing,Metrics & Operations,বাংলাদেশে কোহোর্ট ধরে গ্রাহক ধরে রাখার হিসাব,Cohort retention in the Bangladesh context,/metrics/cohort-retention,Guide,Medium,Retention education.
Phase 3: Launching & Growing,Metrics & Operations,প্রাথমিক টিমের ম্যানুয়াল অপারেশনস ড্যাশবোর্ড,Manual ops dashboard for early teams,/metrics/ops-dashboard,Template,High,Google Sheets-first operator tool.
Phase 3: Launching & Growing,Funding,গ্রান্ট আবেদন ক্যালেন্ডার,Grant application calendar,/funding/grant-calendar,Calendar,High,"iDEA, BIG, Startup Bangladesh and accelerators."
Phase 3: Launching & Growing,Funding,BIG আবেদন গাইড,Bangabandhu Innovation Grant application guide,/funding/big-application,Guide,Medium,Source lead: iDEA / BIG.
Phase 3: Launching & Growing,Funding,Startup Bangladesh বিনিয়োগ যাচাই চেকলিস্ট,Startup Bangladesh due diligence checklist,/funding/startup-bangladesh-dd,Checklist,High,Source lead: Startup Bangladesh investment application.
Phase 3: Launching & Growing,Funding,Bangladesh Angels Network যোগাযোগ ট্র্যাকার,Bangladesh Angels Network outreach tracker,/funding/ban-outreach-tracker,Tracker,Medium,Investor CRM variant.
Phase 3: Launching & Growing,Funding,"SAFE, convertible note ও priced round সহজ বাংলায়","SAFE, convertible notes and priced rounds in plain Bangla",/funding/safe-convertible-notes,Guide,High,Translate fundraising mechanics.
Phase 3: Launching & Growing,Funding,পরিবারের টাকা ক্যাপ টেবিলে কীভাবে দেখাবেন,How to reflect family money in the cap table,/funding/family-money-cap-table,Guide,High,Bangladesh-specific funding reality.
Phase 3: Launching & Growing,Funding,"ব্যাংক ঋণ, SME ঋণ নাকি ইকুইটি?","Bank loan, SME loan or equity?",/funding/loan-or-equity,Comparison,Medium,For non-VC businesses too.
Phase 3: Launching & Growing,Funding,ইমপ্যাক্ট ইনভেস্টরদের জন্য প্রস্তুতি: থিওরি অব চেঞ্জ ও ফলাফলের প্রমাণ,Impact investment readiness: theory of change and evidence of outcomes,/funding/impact-investment-readiness,Guide / Checklist,Medium,"Theory of change, financial sustainability, outcome indicators, evidence collection, the impact section of a data room, and how to avoid SDG-washing. Verify frameworks against GIIN IRIS+, the UN SDGs and the IFC impact principles. Source lead: Accelerating Bangladesh, Impact Investments and the SDGs."
Phase 3: Launching & Growing,Funding,NRB বা প্রবাসী বিনিয়োগ নেওয়ার পথ,NRB or diaspora funding path,/funding/diaspora-funding,Guide,High,"Source lead: Startup Bangladesh NRB Connect, Invest Bangladesh."
Phase 3: Launching & Growing,Funding,ইনভেস্টর বোর্ড রিপোর্ট টেমপ্লেট,Investor board report template,/funding/board-report,Template,Medium,Post-funding governance.
Phase 3: Launching & Growing,Scaling,নতুন শহরে লঞ্চ প্লেবুক,City launch playbook,/growth/city-launch-playbook,Playbook,High,For expansion outside Dhaka.
Phase 3: Launching & Growing,Scaling,টিয়ার-২ শহরে লোকাল পার্টনার চেকলিস্ট,Tier-2 city local partner checklist,/growth/tier-2-partners,Checklist,Medium,Distribution and trust.
Phase 3: Launching & Growing,Scaling,বাংলাদেশের জন্য ওয়্যারহাউস হাব মডেল,Warehouse hub model for Bangladesh,/operations/warehouse-hub-model,Guide,Medium,Commerce/logistics.
Phase 3: Launching & Growing,Scaling,"আঞ্চলিক রপ্তানি: নেপাল, ভারত, মধ্যপ্রাচ্য","Regional export: Nepal, India and the Middle East",/growth/regional-export,Guide,Medium,Export-oriented founders.
Phase 3: Launching & Growing,Scaling,দ্বিতীয় অফিস বা কারখানা খুললে কমপ্লায়েন্স চেকলিস্ট,Compliance checklist for a second office or factory,/growth/second-office-compliance,Checklist,Medium,Scale-stage operations.
Phase 4: Ecosystem & Support,Government Programs & Policies,হাই-টেক পার্ক কর্তৃপক্ষের প্রোগ্রামগুলি,Hi-Tech Park Authority programs,/ecosystem/hi-tech-parks,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,ইনভেস্ট বাংলাদেশ ওয়ান-স্টপ সেবা ও বিনিয়োগ নীতি,Invest Bangladesh one-stop services and investment policy,/ecosystem/bida-oss,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,আইটি/আইটিইএস-এর জন্য রপ্তানি প্রণোদনা,Export incentives for IT/ITES,/ecosystem/it-export-incentives,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,প্রযুক্তি সংস্থাগুলির জন্য কর অবকাশ,Tax holidays for tech companies,/ecosystem/tax-holidays,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,বিশেষ অর্থনৈতিক অঞ্চল,Special Economic Zones,/ecosystem/economic-zones,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,সরকারি কর্মসূচির আবেদন নির্দেশিকা,Government program application guide,/ecosystem/government-programs,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Community & Networking,বেসিস সফটএক্সপো,BASIS SoftExpo,/ecosystem/basis-softexpo,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,ডিজিটাল বিশ্ব,Digital World,/ecosystem/digital-world,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,টেকস্টারস-সংশ্লিষ্ট ইভেন্টগুলি,Techstars-affiliated events,/ecosystem/techstars-events,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,প্রতিষ্ঠাতা সম্প্রদায়,Founder communities,/ecosystem/founder-communities,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,পরামর্শদান কর্মসূচি,Mentorship programs,/ecosystem/mentorship,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,বিশ্ববিদ্যালয় উদ্যোক্তা ইকোসিস্টেম,University entrepreneurship ecosystems,/ecosystem/university-ecosystems,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,"ব্র্যাক, এনএসইউ, ডিইউ, আইবিএ উদ্যোক্তা ক্লাব","BRAC, NSU, DU, IBA entrepreneurship clubs",/ecosystem/university-clubs,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,অনুষ্ঠান/সুযোগ ক্যালেন্ডার,Event/opportunity calendar,/ecosystem/event-calendar,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,ইনভেস্ট বাংলাদেশ OSS অ্যাকাউন্ট খুলে সেবার আবেদন ট্র্যাক করা,Opening an Invest Bangladesh OSS account and tracking service requests,/ecosystem/bida-oss-account,Guide,High,Source lead: Invest Bangladesh OSS.
Phase 4: Ecosystem & Support,Government Programs & Policies,Hi-Tech Park আবেদন পথচিত্র,Hi-Tech Park application path,/ecosystem/hi-tech-park-application,Guide,Medium,Source lead: BHTPA.
Phase 4: Ecosystem & Support,Government Programs & Policies,BASIS সদস্যপদ: কখন দরকার,BASIS membership: when it matters,/ecosystem/basis-membership,Guide,Medium,IT/ITES founder support.
Phase 4: Ecosystem & Support,Government Programs & Policies,e-CAB সদস্যপদ: অনলাইন বিক্রেতাদের জন্য মূল্য,Value of e-CAB membership for online sellers,/ecosystem/e-cab-membership,Guide,Medium,E-commerce support.
Phase 4: Ecosystem & Support,Government Programs & Policies,ছোট উৎপাদন ব্যবসার জন্য BSCIC সহায়তা,BSCIC support for small manufacturing,/ecosystem/bscic,Guide,Medium,Physical business support.
Phase 4: Ecosystem & Support,Community & Networking,বিশ্ববিদ্যালয় E-cell-এর সঙ্গে যোগাযোগ প্লেবুক,University E-cell outreach playbook,/ecosystem/e-cell-outreach,Playbook,Medium,Source and distribution channel.
Phase 4: Ecosystem & Support,Sector Playbooks,ফিনটেক নিয়ন্ত্রক ম্যাপ,Fintech regulatory map,/industries/fintech-regulations,Guide,High,Source lead: Bangladesh Bank.
Phase 4: Ecosystem & Support,Sector Playbooks,ই-কমার্স মার্কেটপ্লেস নিয়ন্ত্রক ম্যাপ,E-commerce marketplace regulatory map,/industries/e-commerce-regulations,Guide,High,Digital commerce and consumer trust.
Phase 4: Ecosystem & Support,Sector Playbooks,অ্যাগ্রিটেক স্টার্টআপ প্লেবুক,Agritech startup playbook,/industries/agritech,Playbook,Medium,"Farmers, middlemen, procurement, payments."
Phase 4: Ecosystem & Support,Sector Playbooks,হেলথটেক নিয়ন্ত্রক ম্যাপ,Healthtech regulatory map,/industries/healthtech-regulations,Guide,High,"DGHS, DGDA and privacy questions."
Phase 4: Ecosystem & Support,Sector Playbooks,এডটেক: অভিভাবকের আস্থা ও গ্রাহক আনার প্লেবুক,Edtech trust and parent acquisition playbook,/industries/edtech,Playbook,Medium,Bangladesh edtech context.
Phase 4: Ecosystem & Support,Sector Playbooks,লজিস্টিকস স্টার্টআপ প্লেবুক,Logistics startup playbook,/industries/logistics,Playbook,Medium,"Courier, fleet, COD and city expansion."
Phase 4: Ecosystem & Support,Sector Playbooks,বাংলাদেশ থেকে SaaS রপ্তানির প্লেবুক,SaaS export playbook from Bangladesh,/industries/saas-export,Playbook,High,"BASIS, FX, payments, global sales."
Phase 4: Ecosystem & Support,Sector Playbooks,RMG ও গার্মেন্টস অ্যাকসেসরিজ ব্যবসার গাইড,RMG and garment accessories startup guide,/industries/rmg-garments,Guide,Medium,Export/manufacturing path.
Phase 4: Ecosystem & Support,Sector Playbooks,খাদ্য ও কৃষিপণ্য প্রক্রিয়াজাতকরণ ব্যবসার গাইড,Food and agro-processing business guide,/industries/agro-processing,Guide,High,"Food safety, packaging, cold chain."
Phase 4: Ecosystem & Support,Sector Playbooks,বিউটি ও পার্সোনাল কেয়ার পণ্য ব্যবসার গাইড,Beauty and personal care product business guide,/industries/beauty-care,Guide,Medium,"Labeling, influencers, retail."
Phase 4: Ecosystem & Support,Sector Playbooks,লাইট ইঞ্জিনিয়ারিং ও হার্ডওয়্যার উৎপাদন গাইড,Light engineering and hardware manufacturing guide,/industries/light-engineering,Guide,Medium,Invest Bangladesh sector lead.
Phase 4: Ecosystem & Support,Sector Playbooks,পর্যটন ও ট্রাভেল স্টার্টআপ গাইড,Tourism and travel startup guide,/industries/travel,Guide,Medium,Travel agency and payment constraints.
Founder Life,Soft Topics,ছাত্র প্রতিষ্ঠাতা সীমাবদ্ধতা,Student founder constraints,/founder-life/student-founders,Guide / Script,Medium,
Founder Life,Soft Topics,পারিবারিক চাপ এবং কর্মজীবনের ঝুঁকি,Family pressure and career risk,/founder-life/family-pressure,Guide / Script,Medium,
Founder Life,Soft Topics,পরিবারের কাছ থেকে না পাওয়ার বিষয়ে আলোচনা: স্ক্রিপ্ট,Negotiating no from family: scripts,/founder-life/negotiating-no,Guide / Script,Medium,
Founder Life,Soft Topics,প্রতিষ্ঠাতার মানসিক স্বাস্থ্য এবং অবসাদ,Founder mental health and burnout,/founder-life/mental-health,Guide / Script,Medium,
Founder Life,Soft Topics,"ঈদ বা বিয়ের অনুষ্ঠানে আত্মীয়স্বজনরা জিজ্ঞাসা করলে কী বলবেন, এটা কি কোনো চাকরি",What to say at Eid/wedding gatherings when relatives ask if this is a job,/founder-life/eid-gathering-scripts,Guide / Script,Medium,
Founder Life,Soft Topics,"নারী উদ্যোক্তাদের সীমাবদ্ধতা: নিরাপত্তা, ক্লায়েন্ট মিটিং, ভ্রমণ, দৃশ্যমানতা","Women founder constraints: safety, client meetings, travel, visibility",/founder-life/women-founders,Guide / Script,Medium,
Founder Life,Soft Topics,প্রবাসী ফাউন্ডারদের সুবিধা,Diaspora founder advantages,/founder-life/diaspora-advantages,Guide / Script,Medium,
Founder Life,Soft Topics,প্রবাসী ফাউন্ডারদের সীমাবদ্ধতা,Diaspora founder constraints,/founder-life/diaspora-constraints,Guide / Script,Medium,
Founder Life,Soft Topics,পরিবারের আপত্তি সামলানোর স্ক্রিপ্ট: চাকরি না ব্যবসা?,Family objection scripts: job or business?,/founder-life/family-objection-scripts,Script,High,Bangladesh founder-life pain point.
Founder Life,Soft Topics,নারী প্রতিষ্ঠাতার ক্লায়েন্ট মিটিং নিরাপত্তা পরিকল্পনা,Women founder safety plan for client meetings,/founder-life/women-safety-plan,Guide / Checklist,High,Handle sensitively with founder input.
Founder Life,Soft Topics,শিক্ষার্থী প্রতিষ্ঠাতার সেমিস্টার পরিকল্পনা,Student founder semester plan,/founder-life/student-semester-plan,Template,Medium,University founder workflow.
Founder Life,Soft Topics,প্রতিষ্ঠাতার মানসিক স্বাস্থ্য সহায়তা ম্যাপ,Founder mental health support map,/founder-life/mental-health-support,Directory,Medium,Bangla-language support gap.
Founder Life,Soft Topics,প্রবাসী সহ-প্রতিষ্ঠাতা ও স্থানীয় অপারেটরের সম্পর্ক,Diaspora co-founder and local operator relationship,/founder-life/diaspora-local-operator,Guide,High,NRB/diaspora journey.
Case Studies,Success Stories,বিকাশ,bKash,/case-studies/bkash,Case Study,Medium,
Case Studies,Success Stories,পাঠাও,Pathao,/case-studies/pathao,Case Study,Medium,
Case Studies,Success Stories,চালডাল,Chaldal,/case-studies/chaldal,Case Study,Medium,
Case Studies,Success Stories,ShopUp / SILQ,ShopUp / SILQ,/case-studies/shopup-silq,Case Study,Medium,
Case Studies,Success Stories,১০ মিনিট স্কুল,10 Minute School,/case-studies/10-minute-school,Case Study,Medium,
Case Studies,Success Stories,শিখো,Shikho,/case-studies/shikho,Case Study,Medium,
Case Studies,Success Stories,আইফার্মার,iFarmer,/case-studies/ifarmer,Case Study,Medium,
Case Studies,Success Stories,ট্রাক লাগবে,Truck Lagbe,/case-studies/truck-lagbe,Case Study,Medium,
Case Studies,Success Stories,Sheba.xyz,Sheba.xyz,/case-studies/shebaxyz,Case Study,Medium,
Case Studies,Success Stories,সহজ,Shohoz,/case-studies/shohoz,Case Study,Medium,
Case Studies,Success Stories,শেয়ারট্রিপ,ShareTrip,/case-studies/sharetrip,Case Study,Medium,
Case Studies,Success Stories,যাত্রী,Jatri,/case-studies/jatri,Case Study,Medium,
Case Studies,Success Stories,শাটল,Shuttle,/case-studies/shuttle,Case Study,Medium,
Case Studies,Success Stories,প্রিয়শপ,PriyoShop,/case-studies/priyoshop,Case Study,Medium,
Case Studies,Success Stories,সাজগোজ,Shajgoj,/case-studies/shajgoj,Case Study,Medium,
Case Studies,Success Stories,মায়া,Maya,/case-studies/maya,Case Study,Medium,
Case Studies,Success Stories,প্রাভা হেলথ,Praava Health,/case-studies/praava-health,Case Study,Medium,
Case Studies,Success Stories,আরোগ্য,Arogga,/case-studies/arogga,Case Study,Medium,
Case Studies,Success Stories,মেডইজি,MedEasy,/case-studies/medeasy,Case Study,Medium,
Case Studies,Success Stories,মার্কোপোলো এআই,Markopolo AI,/case-studies/markopolo-ai,Case Study,Medium,
Case Studies,Success Stories,Revora (আগের নাম MyAlice),Revora (formerly MyAlice),/case-studies/myalice,Case Study,Medium,Rebranded from MyAlice to Revora in June 2026; keep the legacy route.
Case Studies,Success Stories,গোযায়ান,GoZayaan,/case-studies/gozayaan,Case Study,Medium,
Case Studies,Success Stories,রকমারি,Rokomari,/case-studies/rokomari,Case Study,Medium,
Case Studies,Success Stories,বিডিজবস.কম,Bdjobs.com,/case-studies/bdjobs,Case Study,Medium,
Case Studies,Success Stories,পিকাবু,Pickaboo,/case-studies/pickaboo,Case Study,Medium,
Case Studies,Success Stories,পেপারফ্লাই,Paperfly,/case-studies/paperfly,Case Study,Medium,
Case Studies,Success Stories,খাস ফুড,Khaas Food,/case-studies/khaas-food,Case Study,Medium,
Case Studies,Success Stories,অন্যরকম গ্রুপ,OnnoRokom Group,/case-studies/onnorokom-group,Case Study,Medium,
Case Studies,Failure & Lessons,ব্যর্থতার পোস্টমর্টেম: আলাদা ধরনের কেস স্টাডি,Failure post-mortems as a separate content category,/case-studies/failure-post-mortems,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,সফল কেস স্টাডিতে যেসব তথ্য বাদ পড়ে,What success case studies leave out,/case-studies/what-success-case-studies-leave-out,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,বাংলাদেশি স্টার্টআপ ব্যর্থ হয় কেন,Common reasons Bangladeshi startups fail,/case-studies/why-startups-fail,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,"কোন কৌশল কাজে লাগেনি, আর কেন",What did not work and why,/case-studies/what-did-not-work-and-why,Case Study / Post-mortem,High,
Case Studies,Success Stories,ফসল কেস স্টাডি,Fashol case study,/case-studies/fashol,Case Study,Medium,Agritech/physical distribution.
Case Studies,Success Stories,SOLshare কেস স্টাডি,SOLshare case study,/case-studies/solshare,Case Study,Medium,Energy/climate tech.
Case Studies,Success Stories,ফ্যাব্রিলাইফ কেস স্টাডি,Fabrilife case study,/case-studies/fabrilife,Case Study,Medium,D2C apparel and social commerce.
Case Studies,Success Stories,Apon Wellbeing কেস স্টাডি,Apon Wellbeing case study,/case-studies/apon-wellbeing,Case Study,Medium,Worker benefits and B2B2C.
Case Studies,Success Stories,ফসল বনাম আইফার্মার: শুরুর গ্রাহক বাছাইয়ের কৌশল,Fashol vs iFarmer: agritech wedge comparison,/case-studies/fashol-vs-ifarmer,Case Study / Comparison,Medium,Compare market entry strategies.
Case Studies,Failure & Lessons,অগ্রিম পেমেন্ট নেওয়া ই-কমার্সের ব্যর্থতা থেকে শিক্ষা,Lessons from advance-payment e-commerce failures in Bangladesh,/case-studies/advance-payment-failures,Post-mortem,High,"Trust, escrow, refunds and regulation."
Case Studies,Failure & Lessons,মার্কেটপ্লেসে ভরসা ভেঙে পড়ার পোস্টমর্টেম টেমপ্লেট,Marketplace trust-collapse post-mortem template,/case-studies/marketplace-trust-collapse,Template,High,Reusable failure format.
Case Studies,Failure & Lessons,গ্রাহকের টাকা ধরে রাখা ব্যবসার মডেল কেন ঝুঁকিপূর্ণ,Why holding customer money is a risky business model,/case-studies/holding-customer-money,Guide / Post-mortem,High,Relevant to commerce and fintech.
Phase 3: Launching & Growing,Funding,ফান্ডিং রোডম্যাপ – বাংলাদেশে স্টার্টআপের টাকা কোথা থেকে আসে,Funding roadmap: where startup money comes from in Bangladesh,/funding,Guide,High,Top-level orientation page at /funding-roadmap (added 2026-07-08); homepage funding card and sidebar funding group point here instead of the phase-three stub wall.
Directory,Startup Watchlist,দেশি স্টার্টআপ ৫০,The Deshi Startup 50,/startup-50,Directory / Startup Watchlist,High,"50 Bangladeshi startups to watch in 2026, with useful company details, regular updates and public suggestions."
